	word	quideword	cerf	pos
328	call	SHOUT	B1	noun
329	card	INFORMATION	B1	noun
330	certificate		B1	noun
331	accent	MARK	B2	noun
332	account	REPORT	B2	noun
333	apostrophe		B2	noun
334	arrow	SYMBOL	B2	noun
335	ban		B2	noun
336	booklet		B2	noun
337	chart	DRAWING	B2	noun
338	colon		B2	noun
339	character	WRITING	C1	noun
340	claim	STATEMENT	C1	noun
341	appeal	REQUEST	C2	noun
342	channel	COMMUNICATION	C2	noun
343	cliché		C2	noun
344	advice		A2	noun
345	blame		B2	noun
346	abuse	LANGUAGE	C2	noun
347	chat		A2	noun
348	apology		B1	noun
349	code	SECRET MESSAGE	B2	noun
350	attack	CRITICISM	C2	noun
351	answer	DOOR/TELEPHONE	A2	noun
352	chat	TALK	A2	verb
353	argue	DISAGREE	B1	verb
354	check	ASK	B2	verb
355	cheer		B2	verb
356	appeal	REQUEST	C1	verb
357	ask	INVITE	A2	verb
358	add	SAY MORE	B1	verb
359	announce		B1	verb
360	approve	AGREE	B1	verb
361	blame	RESPONSIBLE	B1	verb
362	amuse	MAKE LAUGH	B2	verb
363	assume		B2	verb
364	assure		B2	verb
365	call	DESCRIBE	B2	verb
366	capture	DESCRIBE	B2	verb
367	challenge		B2	verb
368	claim	SAY	B2	verb
369	attack	CRITICIZE	C1	verb
370	clarify		C1	verb
371	allege		C2	verb
372	answer	REACT	A1	verb
373	ask	QUESTION	A1	verb
374	agree	SAME OPINION	A2	verb
375	answer	DOOR/PHONE	A2	verb
376	admit		B1	verb
377	advise		B1	verb
378	ask	REQUEST	B1	verb
379	ask	WANT SOMETHING	B1	verb
380	ask	WANT PERMISSION	B1	verb
381	call	SHOUT	B1	verb
382	argue	GIVE REASONS	B2	verb
383	beg	STRONG REQUEST	B2	verb
384	beg	VERY POOR	B2	verb
385	boast	PRIDE	B2	verb
386	call	ASK TO COME	B2	verb
387	claim	DEMAND	B2	verb
388	burglar		B2	noun
389	case	CRIME	B2	noun
390	case	COURT OF LAW	B2	noun
391	arrest		B2	noun
392	burglary		B2	noun
393	arrest		B1	verb
394	centimeter		A2	noun
395	circle	SHAPE	A2	noun
396	amount		B1	noun
397	average	AMOUNT	B1	noun
398	bit	SMALL AMOUNT	B1	noun
399	bunch	THINGS	B1	noun
400	bar	BLOCK	B2	noun
401	base	BOTTOM	B2	noun
402	block	PIECE	B2	noun
403	angle	SPACE	C1	noun
404	acre		C2	noun
405	black		A2	noun
406	accuracy		B2	noun
407	color	APPEARANCE	A1	noun
408	blue		A2	noun
409	brown		A2	noun
410	average	USUAL/TYPICAL	B1	noun
411	class	TEACHING GROUP	A1	noun
412	blackboard		A2	noun
413	branch	SUBJECT	B2	noun
414	chemistry		A2	noun
415	class	LESSON	A1	noun
416	college		A2	noun
417	bean		A1	noun
418	café		A1	noun
419	coffee shop		A1	noun
420	bar	DRINKING PLACE	A2	noun
421	barbecue	PARTY	A2	noun
422	bottle		A2	noun
423	bowl		A2	noun
424	burger		A2	noun
425	cafeteria		A2	noun
426	can		A2	noun
427	bite	FOOD	B2	noun
428	bun		B2	noun
429	cherry		B2	noun
430	casserole	CONTAINER	C2	noun
431	bread		A1	noun
432	butter		A1	noun
433	beef		B1	noun
434	broccoli		B1	noun
435	chewing gum		B1	noun
436	apple		A1	noun
437	banana		A1	noun
438	breakfast		A1	noun
439	cake	FOOD	A1	noun
440	cheese		A1	noun
441	chocolate	FOOD	A1	noun
442	coffee		A1	noun
443	candy		A2	noun
444	carrot	VEGETABLE	A2	noun
445	cereal	BREAKFAST FOOD	A2	noun
446	cola		A2	noun
447	cabbage		B1	noun
448	coconut		B1	noun
449	appetite	FOOD	C1	noun
450	cereal	PLANT	C1	noun
451	casserole	FOOD	C2	noun
452	barbecue		B1	verb
453	boil	COOK	B1	verb
454	beat	MIX	C1	verb
455	bake		A2	verb
456	burn	COOK TOO LONG	B1	verb
457	address	BUILDING DETAILS	A1	noun
458	bathroom	ROOM	A1	noun
459	bedroom		A1	noun
460	bookcase		A1	noun
461	chair		A1	noun
462	apartment		A2	noun
463	armchair		A2	noun
464	blanket	FOR BED	A2	noun
465	board	INFORMATION	A2	noun
466	bookshelf		A2	noun
467	cabinet		A2	noun
468	castle		A2	noun
469	ceiling	ROOM	A2	noun
470	center	PLACE	A2	noun
