	word	quideword	cerf	pos
344	argue	DISAGREE	B1	verb
345	check	ASK	B2	verb
346	cheer		B2	verb
347	appeal	REQUEST	C1	verb
348	ask	INVITE	A2	verb
349	add	SAY MORE	B1	verb
350	announce		B1	verb
351	approve	AGREE	B1	verb
352	blame	RESPONSIBLE	B1	verb
353	amuse	MAKE LAUGH	B2	verb
354	assume		B2	verb
355	assure	SAY WITH CERTAINTY	B2	verb
356	call	DESCRIBE	B2	verb
357	capture	DESCRIBE	B2	verb
358	challenge		B2	verb
359	claim	SAY	B2	verb
360	attack	CRITICIZE	C1	verb
361	clarify		C1	verb
362	allege		C2	verb
363	answer	REACT	A1	verb
364	ask	QUESTION	A1	verb
365	agree	SAME OPINION	A2	verb
366	answer	DOOR/PHONE	A2	verb
367	admit		B1	verb
368	advise		B1	verb
369	ask	REQUEST	B1	verb
370	ask	WANT SOMETHING	B1	verb
371	ask	WANT PERMISSION	B1	verb
372	call	SHOUT	B1	verb
373	argue	GIVE REASONS	B2	verb
374	beg	STRONG REQUEST	B2	verb
375	beg	VERY POOR	B2	verb
376	boast	PRIDE	B2	verb
377	claim	DEMAND	B2	verb
378	call	ASK TO COME	C1	verb
379	bark	SHOUT	C2	verb
380	burglar		B2	noun
381	case	CRIME	B2	noun
382	case	COURT OF LAW	B2	noun
383	arrest		B2	noun
384	burglary		B2	noun
385	arrest		B1	verb
386	centimetre		A2	noun
387	circle	SHAPE	A2	noun
388	amount		B1	noun
389	average	AMOUNT	B1	noun
390	bar	BLOCK	B1	noun
391	bunch	THINGS	B1	noun
392	base	BOTTOM	B2	noun
393	block	PIECE	B2	noun
394	angle	SPACE	C1	noun
395	acre		C2	noun
396	black		A2	noun
397	accuracy		B2	noun
398	colour	RED/BLUE, ETC.	A1	noun
399	blue		A2	noun
400	brown		A2	noun
401	average	USUAL/TYPICAL	B1	noun
402	blackboard		A2	noun
403	candidate	EXAMINATION	B1	noun
404	branch	SUBJECT	B2	noun
405	chemistry		A2	noun
406	class	LESSON	A1	noun
407	bar	DRINKING PLACE	A1	noun
408	biscuit		A1	noun
409	café		A1	noun
410	barbecue	PARTY	A2	noun
411	bean		A2	noun
412	bottle		A2	noun
413	bowl		A2	noun
414	burger		A2	noun
415	can		A2	noun
416	canteen		B1	noun
417	bite	FOOD	B2	noun
418	bun		B2	noun
419	cherry		B2	noun
420	casserole	CONTAINER	C2	noun
421	bread		A1	noun
422	butter		A1	noun
423	beef		B1	noun
424	broccoli		B1	noun
425	chewing gum		B1	noun
426	apple		A1	noun
427	banana		A1	noun
428	breakfast		A1	noun
429	cake	FOOD	A1	noun
430	cheese		A1	noun
431	chocolate	FOOD	A1	noun
432	coffee		A1	noun
433	carrot	VEGETABLE	A2	noun
434	cereal	BREAKFAST FOOD	A2	noun
435	chilli		A2	noun
436	cola		A2	noun
437	cabbage		B1	noun
438	coconut		B1	noun
439	aubergine		B2	noun
440	appetite	FOOD	C1	noun
441	cereal	PLANT	C1	noun
442	casserole	FOOD	C2	noun
443	barbecue		B1	verb
444	boil	COOK	B1	verb
445	beat	FOOD	C1	verb
446	bake		A2	verb
447	burn	COOK TOO LONG	B1	verb
448	address	BUILDING DETAILS	A1	noun
449	bath	CONTAINER	A1	noun
450	bathroom	ROOM	A1	noun
451	bedroom		A1	noun
452	chair		A1	noun
453	apartment		A2	noun
454	armchair		A2	noun
455	blanket	FOR BED	A2	noun
456	board	INFORMATION	A2	noun
457	bookcase		A2	noun
458	bookshelf		A2	noun
459	castle		A2	noun
460	ceiling	ROOM	A2	noun
461	centre	PLACE	A2	noun
462	area	PART	B1	noun
463	balcony	HOUSE ETC.	B1	noun
464	basin		B1	noun
465	bin		B1	noun
466	block	BUILDING	B1	noun
467	candle		B1	noun
468	chest of drawers		B1	noun
469	barrier	FENCE	B2	noun
470	basement		B2	noun
471	bench		B2	noun
472	brick		B2	noun
473	cabinet		B2	noun
474	cellar		B2	noun
475	chimney		B2	noun
476	cloth	FOR CLEANING	B2	noun
477	column	BUILDING	B2	noun
478	cabin	HOUSE	C1	noun
479	balcony	THEATRE	C2	noun
480	air conditioning		B1	noun
481	architecture	STYLE	B1	noun
482	bed	FOR SLEEP	A1	noun
483	carpet		A2	noun
484	atmosphere	AIR INSIDE	B2	noun
485	bank	MONEY	A1	noun
486	cent		A2	noun
487	cheque		A2	noun
488	account	BANK	B1	noun
489	bank account		B1	noun
490	coin		B1	noun
491	award	PRIZE	B2	noun
492	balance	MONEY	B2	noun
493	budget	AMOUNT	B2	noun
494	bid	BUY	C2	noun
495	cash	NOTES/COINS	A2	noun
496	change	MONEY	B1	noun
497	change	COINS	B1	noun
498	borrow	GET	A2	verb
499	change	MONEY	A2	verb
500	borrow	MONEY	C1	verb
501	beach		A1	noun
502	area	REGION	A2	noun
503	bay	COAST	B1	noun
504	branch	TREE	B1	noun
505	breeze		B1	noun
506	cave		B1	noun
507	cliff		B1	noun
508	coast	NEAR SEA	B1	noun
509	atom		B2	noun
510	bank	RIVER	B2	noun
511	berry		B2	noun
512	bush		B2	noun
513	carbon footprint		B2	noun
514	cloud	SMOKE/DUST	B2	noun
515	bed	BOTTOM	C2	noun
516	air	GAS	A2	noun
517	aluminium		B2	noun
518	carbon		B2	noun
519	carbon dioxide		B2	noun
520	carbon monoxide		B2	noun
521	climate change		B2	noun
522	astronomy		C2	noun
523	autumn		A2	noun
524	cloud	WATER	A2	noun
525	climate	WEATHER	B1	noun
526	acid		B2	noun
527	coastline		C2	noun
528	bottom	SEA/RIVER/LAKE	B1	noun
529	blow	WIND	B1	verb
530	break	STORM	C2	verb
531	break	WEATHER	C2	verb
532	boil	HEAT LIQUID	A2	verb
533	bath	WASH	A1	noun
534	check		B1	noun
535	act	THING DONE	B2	noun
536	attempt		B2	noun
537	capture		C1	noun
538	come	MOVE TO SPEAKER	A1	verb
539	come	GO WITH SOMEONE	A1	verb
540	act	BEHAVE	B1	verb
541	behave	IN A PARTICULAR WAY	B1	verb
542	blow	PERSON	B1	verb
543	act	DO SOMETHING	B2	verb
544	adjust	CHANGE BEHAVIOUR	B2	verb
545	campaign		C1	verb
546	cling	HOLD TIGHT	C2	verb
547	carry	HOLD	A1	verb
548	clean		A1	verb
549	colour		A1	verb
550	add	PUT WITH	A2	verb
551	add	CALCULATE	A2	verb
552	bring	TAKE WITH YOU	A2	verb
553	brush	CLEAN/TIDY	A2	verb
554	collect	KEEP	A2	verb
555	collect	GO TO GET	A2	verb
556	achieve		B1	verb
557	attach	CONNECT	B1	verb
558	attempt		B1	verb
559	avoid	STAY AWAY FROM	B1	verb
560	bury	DEAD BODY	B1	verb
561	cancel		B1	verb
562	carry	HAVE WITH YOU	B1	verb
563	catch	STOP ESCAPING	B1	verb
564	circle	DRAW	B1	verb
565	clear		B1	verb
566	collect	BRING TOGETHER	B1	verb
567	acquire	LEARN	B2	verb
568	adapt	CHANGE SOMETHING	B2	verb
569	adjust	CHANGE	B2	verb
570	adopt	START	B2	verb
571	analyse		B2	verb
572	arrange	PUT IN POSITION	B2	verb
573	assess		B2	verb
574	avoid	PREVENT	B2	verb
575	beat	HIT	B2	verb
576	burgle		B2	verb
577	bury	HIDE	B2	verb
578	calculate	MATHS	B2	verb
579	capture	CATCH	B2	verb
580	clutch		C2	verb
581	catch	TAKE HOLD	A1	verb
582	change	START SOMETHING NEW	A1	verb
583	choose		A1	verb
584	close	DOOR/WINDOW	A1	verb
585	check	EXAMINE	A2	verb
586	climb	PERSON	A2	verb
587	approach	COME CLOSE	B1	verb
588	arrange	PLAN	B1	verb
589	attend	BE PRESENT	B1	verb
590	babysit		B1	verb
591	clap		B1	verb
592	assist		B2	verb
593	balance	NOT FALLING	B2	verb
594	bang		B2	verb
595	bend	BODY	B2	verb
596	brush	TOUCH	B2	verb
597	charge	ATTACK	B2	verb
598	chase	RUN AFTER	B2	verb
599	combine		B2	verb
600	blow	SOUND	C2	verb
601	carve		C2	verb
602	adult		A1	noun
603	baby	CHILD	A1	noun
604	beard		A1	noun
605	boy		A1	noun
606	comb		A2	noun
607	adolescent		C2	noun
